Cidade;CodigoDaCidade;Data;Regiao;Pais;Latitude;Longigute;TemperaturaMaxima;TemperaturaMinima;TemperaturaMedia;VaiChover;ChanceDeChuva;CondicaoDoTempo;NascerDoSol;PorDoSol;VelocidadeMaximaDoVento
Paraibuna;3535606;2022-05-04;Sao Paulo;Brasil;-23.38;-45.65;23.7;16.1;18.9;Sim;87%;Patchy rain possible;06:25 AM;05:36 PM;17.6
Paraibuna;3535606;2022-05-05;Sao Paulo;Brasil;-23.38;-45.65;24.3;11.0;16.8;Não;0%;Sunny;06:25 AM;05:35 PM;15.5
Paraibuna;3535606;2022-05-06;Sao Paulo;Brasil;-23.38;-45.65;22.7;13.8;17.3;Não;68%;Patchy rain possible;06:25 AM;05:35 PM;14.8
Paraibuna;3535606;2022-05-07;Sao Paulo;Brasil;-23.38;-45.65;25.8;12.4;17.3;Não;0%;Partly cloudy;06:26 AM;05:34 PM;14.8
Paraibuna;3535606;2022-05-08;Sao Paulo;Brasil;-23.38;-45.65;24.5;15.7;18.4;Não;0%;Cloudy;06:26 AM;05:33 PM;13.0
Aparecida;3502507;2022-05-04;Sao Paulo;Brasil;-22.83;-45.23;28.1;13.8;19.9;Sim;89%;Patchy rain possible;06:21 AM;05:34 PM;8.6
Aparecida;3502507;2022-05-05;Sao Paulo;Brasil;-22.83;-45.23;25.4;8.8;15.8;Não;0%;Sunny;06:22 AM;05:33 PM;6.5
Aparecida;3502507;2022-05-06;Sao Paulo;Brasil;-22.83;-45.23;24.3;8.8;15.5;Não;0%;Partly cloudy;06:22 AM;05:33 PM;7.9
Aparecida;3502507;2022-05-07;Sao Paulo;Brasil;-22.83;-45.23;25.5;12.3;17.2;Não;0%;Partly cloudy;06:23 AM;05:32 PM;3.6
Aparecida;3502507;2022-05-08;Sao Paulo;Brasil;-22.83;-45.23;24.0;12.7;17.2;Não;63%;Patchy rain possible;06:23 AM;05:31 PM;6.1
Santa Branca;3546009;2022-05-04;Sao Paulo;Brasil;-23.4;-45.88;22.7;15.2;18.1;Não;0%;Partly cloudy;06:25 AM;05:36 PM;19.4
Santa Branca;3546009;2022-05-05;Sao Paulo;Brasil;-23.4;-45.88;22.7;11.8;16.3;Não;0%;Sunny;06:26 AM;05:35 PM;15.8
Santa Branca;3546009;2022-05-06;Sao Paulo;Brasil;-23.4;-45.88;22.0;14.0;17.0;Sim;82%;Patchy rain possible;06:26 AM;05:35 PM;16.2
Santa Branca;3546009;2022-05-07;Sao Paulo;Brasil;-23.4;-45.88;24.5;12.8;17.1;Não;0%;Partly cloudy;06:26 AM;05:34 PM;14.8
Santa Branca;3546009;2022-05-08;Sao Paulo;Brasil;-23.4;-45.88;23.1;15.8;18.3;Não;0%;Cloudy;06:27 AM;05:34 PM;13.3
Cacapava;3508504;2022-05-04;Sao Paulo;Brasil;-23.1;-45.72;24.2;16.3;19.5;Sim;83%;Patchy rain possible;06:24 AM;05:35 PM;11.2
Cacapava;3508504;2022-05-05;Sao Paulo;Brasil;-23.1;-45.72;23.9;10.4;16.4;Não;0%;Sunny;06:24 AM;05:35 PM;10.8
Cacapava;3508504;2022-05-06;Sao Paulo;Brasil;-23.1;-45.72;22.8;11.5;16.6;Não;0%;Partly cloudy;06:25 AM;05:34 PM;10.1
Cacapava;3508504;2022-05-07;Sao Paulo;Brasil;-23.1;-45.72;25.4;10.4;16.8;Não;0%;Partly cloudy;06:25 AM;05:34 PM;10.8
Cacapava;3508504;2022-05-08;Sao Paulo;Brasil;-23.1;-45.72;24.6;13.4;17.5;Sim;72%;Patchy rain possible;06:26 AM;05:33 PM;9.4
Pindamonhangaba;3538006;2022-05-04;Sao Paulo;Brasil;-22.92;-45.47;26.2;13.4;18.1;Sim;81%;Patchy rain possible;06:23 AM;05:35 PM;10.4
Pindamonhangaba;3538006;2022-05-05;Sao Paulo;Brasil;-22.92;-45.47;24.3;9.4;15.3;Não;0%;Sunny;06:23 AM;05:34 PM;7.2
Pindamonhangaba;3538006;2022-05-06;Sao Paulo;Brasil;-22.92;-45.47;23.5;8.7;15.4;Não;0%;Partly cloudy;06:23 AM;05:33 PM;9.4
Pindamonhangaba;3538006;2022-05-07;Sao Paulo;Brasil;-22.92;-45.47;25.5;10.0;17.0;Não;0%;Partly cloudy;06:24 AM;05:33 PM;8.3
Pindamonhangaba;3538006;2022-05-08;Sao Paulo;Brasil;-22.92;-45.47;24.5;13.4;17.1;Sim;86%;Patchy rain possible;06:24 AM;05:32 PM;7.6
Cachoeira Paulista;3508603;2022-05-04;Sao Paulo;Brasil;-22.67;-45.02;27.6;13.8;18.9;Sim;88%;Patchy rain possible;06:20 AM;05:33 PM;14.4
Cachoeira Paulista;3508603;2022-05-05;Sao Paulo;Brasil;-22.67;-45.02;24.5;9.8;16.4;Não;0%;Sunny;06:20 AM;05:32 PM;6.8
Cachoeira Paulista;3508603;2022-05-06;Sao Paulo;Brasil;-22.67;-45.02;24.0;8.2;15.0;Não;0%;Partly cloudy;06:21 AM;05:32 PM;5.8
Cachoeira Paulista;3508603;2022-05-07;Sao Paulo;Brasil;-22.67;-45.02;23.7;11.2;16.3;Sim;71%;Patchy rain possible;06:21 AM;05:31 PM;5.8
Cachoeira Paulista;3508603;2022-05-08;Sao Paulo;Brasil;-22.67;-45.02;22.8;11.2;16.0;Sim;76%;Patchy rain possible;06:22 AM;05:31 PM;6.1
Ilhabela;3520400;2022-05-04;Sao Paulo;Brasil;-23.78;-45.35;25.6;19.1;22.2;Sim;89%;Patchy rain possible;06:24 AM;05:33 PM;18.0
Ilhabela;3520400;2022-05-05;Sao Paulo;Brasil;-23.78;-45.35;25.0;17.8;21.2;Sim;82%;Patchy rain possible;06:24 AM;05:33 PM;22.3
Ilhabela;3520400;2022-05-06;Sao Paulo;Brasil;-23.78;-45.35;23.1;19.9;21.1;Sim;84%;Moderate rain;06:24 AM;05:32 PM;15.1
Ilhabela;3520400;2022-05-07;Sao Paulo;Brasil;-23.78;-45.35;23.2;17.7;20.4;Sim;87%;Patchy rain possible;06:25 AM;05:31 PM;9.0
Ilhabela;3520400;2022-05-08;Sao Paulo;Brasil;-23.78;-45.35;23.2;19.8;21.1;Sim;80%;Moderate rain;06:25 AM;05:31 PM;10.8
Caraguatatuba;3510500;2022-05-04;Sao Paulo;Brasil;-23.62;-45.42;26.3;16.5;20.9;Sim;76%;Patchy rain possible;06:23 AM;05:33 PM;12.6
Caraguatatuba;3510500;2022-05-05;Sao Paulo;Brasil;-23.62;-45.42;25.7;14.1;19.0;Não;59%;Patchy rain possible;06:24 AM;05:33 PM;13.0
Caraguatatuba;3510500;2022-05-06;Sao Paulo;Brasil;-23.62;-45.42;23.4;15.3;18.9;Sim;82%;Moderate rain;06:24 AM;05:32 PM;9.0
Caraguatatuba;3510500;2022-05-07;Sao Paulo;Brasil;-23.62;-45.42;24.9;13.2;19.0;Sim;83%;Patchy rain possible;06:25 AM;05:32 PM;7.9
Caraguatatuba;3510500;2022-05-08;Sao Paulo;Brasil;-23.62;-45.42;23.0;18.8;20.3;Sim;74%;Patchy rain possible;06:25 AM;05:31 PM;7.2
Taubate;3554102;2022-05-04;Sao Paulo;Brasil;-23.03;-45.55;25.2;16.1;19.3;Sim;71%;Patchy rain possible;06:23 AM;05:35 PM;11.2
Taubate;3554102;2022-05-05;Sao Paulo;Brasil;-23.03;-45.55;23.3;10.3;16.3;Não;0%;Sunny;06:23 AM;05:34 PM;9.4
Taubate;3554102;2022-05-06;Sao Paulo;Brasil;-23.03;-45.55;23.5;12.8;17.2;Não;0%;Partly cloudy;06:24 AM;05:34 PM;11.5
Taubate;3554102;2022-05-07;Sao Paulo;Brasil;-23.03;-45.55;25.1;12.5;17.3;Não;0%;Cloudy;06:24 AM;05:33 PM;11.2
Taubate;3554102;2022-05-08;Sao Paulo;Brasil;-23.03;-45.55;24.3;13.7;17.7;Sim;82%;Patchy rain possible;06:25 AM;05:32 PM;9.0
Guaratingueta;3518404;2022-05-04;Sao Paulo;Brasil;-22.82;-45.22;28.1;13.8;19.9;Sim;89%;Patchy rain possible;06:21 AM;05:34 PM;8.6
Guaratingueta;3518404;2022-05-05;Sao Paulo;Brasil;-22.82;-45.22;25.4;8.8;15.8;Não;0%;Sunny;06:22 AM;05:33 PM;6.5
Guaratingueta;3518404;2022-05-06;Sao Paulo;Brasil;-22.82;-45.22;24.3;8.8;15.5;Não;0%;Partly cloudy;06:22 AM;05:33 PM;7.9
Guaratingueta;3518404;2022-05-07;Sao Paulo;Brasil;-22.82;-45.22;25.5;12.3;17.2;Não;0%;Partly cloudy;06:23 AM;05:32 PM;3.6
Guaratingueta;3518404;2022-05-08;Sao Paulo;Brasil;-22.82;-45.22;24.0;12.7;17.2;Não;63%;Patchy rain possible;06:23 AM;05:31 PM;6.1
Arapei;3503158;2022-05-04;Sao Paulo;Brasil;-22.68;-44.45;29.6;17.4;22.5;Sim;83%;Patchy rain possible;06:18 AM;05:31 PM;6.8
Arapei;3503158;2022-05-05;Sao Paulo;Brasil;-22.68;-44.45;29.3;15.6;21.0;Sim;76%;Patchy rain possible;06:18 AM;05:31 PM;6.1
Arapei;3503158;2022-05-06;Sao Paulo;Brasil;-22.68;-44.45;24.2;13.4;18.3;Sim;88%;Patchy rain possible;06:19 AM;05:30 PM;10.4
Arapei;3503158;2022-05-07;Sao Paulo;Brasil;-22.68;-44.45;23.1;15.2;18.5;Sim;88%;Patchy rain possible;06:19 AM;05:29 PM;9.7
Arapei;3503158;2022-05-08;Sao Paulo;Brasil;-22.68;-44.45;21.1;14.3;17.1;Sim;73%;Patchy rain possible;06:20 AM;05:29 PM;8.3
Piquete;3538501;2022-05-04;Sao Paulo;Brasil;-22.6;-45.18;28.5;13.3;18.8;Sim;80%;Patchy rain possible;06:21 AM;05:34 PM;9.7
Piquete;3538501;2022-05-05;Sao Paulo;Brasil;-22.6;-45.18;25.0;8.9;15.8;Não;0%;Sunny;06:22 AM;05:33 PM;6.1
Piquete;3538501;2022-05-06;Sao Paulo;Brasil;-22.6;-45.18;24.6;8.1;15.7;Não;0%;Partly cloudy;06:22 AM;05:33 PM;8.3
Piquete;3538501;2022-05-07;Sao Paulo;Brasil;-22.6;-45.18;25.2;14.1;18.4;Não;0%;Partly cloudy;06:23 AM;05:32 PM;4.3
Piquete;3538501;2022-05-08;Sao Paulo;Brasil;-22.6;-45.18;24.2;14.3;18.4;Sim;85%;Patchy rain possible;06:23 AM;05:31 PM;5.8
Ubatuba;3555406;2022-05-04;Sao Paulo;Brasil;-23.43;-45.07;24.7;15.5;18.6;Sim;86%;Patchy rain possible;06:21 AM;05:33 PM;10.8
Ubatuba;3555406;2022-05-05;Sao Paulo;Brasil;-23.43;-45.07;23.7;12.4;16.1;Não;0%;Partly cloudy;06:22 AM;05:32 PM;8.6
Ubatuba;3555406;2022-05-06;Sao Paulo;Brasil;-23.43;-45.07;20.5;11.4;15.1;Sim;87%;Patchy rain possible;06:22 AM;05:31 PM;10.4
Ubatuba;3555406;2022-05-07;Sao Paulo;Brasil;-23.43;-45.07;21.9;11.9;16.0;Sim;76%;Patchy rain possible;06:22 AM;05:31 PM;10.8
Ubatuba;3555406;2022-05-08;Sao Paulo;Brasil;-23.43;-45.07;19.0;12.9;15.6;Sim;84%;Patchy rain possible;06:23 AM;05:30 PM;9.0
Monteiro Lobato;3531704;2022-05-04;Sao Paulo;Brasil;-22.97;-45.83;24.2;16.3;19.5;Sim;83%;Patchy rain possible;06:24 AM;05:35 PM;11.2
Monteiro Lobato;3531704;2022-05-05;Sao Paulo;Brasil;-22.97;-45.83;23.9;10.4;16.4;Não;0%;Sunny;06:24 AM;05:35 PM;10.8
Monteiro Lobato;3531704;2022-05-06;Sao Paulo;Brasil;-22.97;-45.83;22.8;11.5;16.6;Não;0%;Partly cloudy;06:25 AM;05:34 PM;10.1
Monteiro Lobato;3531704;2022-05-07;Sao Paulo;Brasil;-22.97;-45.83;25.4;10.4;16.8;Não;0%;Partly cloudy;06:25 AM;05:34 PM;10.8
Monteiro Lobato;3531704;2022-05-08;Sao Paulo;Brasil;-22.97;-45.83;24.6;13.4;17.5;Sim;72%;Patchy rain possible;06:26 AM;05:33 PM;9.4
Cunha;3513603;2022-05-04;Sao Paulo;Brasil;-23.08;-44.97;24.7;15.5;18.6;Sim;86%;Patchy rain possible;06:21 AM;05:33 PM;10.8
Cunha;3513603;2022-05-05;Sao Paulo;Brasil;-23.08;-44.97;23.7;12.4;16.1;Não;0%;Partly cloudy;06:22 AM;05:32 PM;8.6
Cunha;3513603;2022-05-06;Sao Paulo;Brasil;-23.08;-44.97;20.5;11.4;15.1;Sim;87%;Patchy rain possible;06:22 AM;05:31 PM;10.4
Cunha;3513603;2022-05-07;Sao Paulo;Brasil;-23.08;-44.97;21.9;11.9;16.0;Sim;76%;Patchy rain possible;06:22 AM;05:31 PM;10.8
Cunha;3513603;2022-05-08;Sao Paulo;Brasil;-23.08;-44.97;19.0;12.9;15.6;Sim;84%;Patchy rain possible;06:23 AM;05:30 PM;9.0
Jacarei;3524402;2022-05-04;Sao Paulo;Brasil;-23.32;-45.97;22.7;15.2;18.1;Não;0%;Partly cloudy;06:25 AM;05:36 PM;19.4
Jacarei;3524402;2022-05-05;Sao Paulo;Brasil;-23.32;-45.97;22.7;11.8;16.3;Não;0%;Sunny;06:26 AM;05:35 PM;15.8
Jacarei;3524402;2022-05-06;Sao Paulo;Brasil;-23.32;-45.97;22.0;14.0;17.0;Sim;82%;Patchy rain possible;06:26 AM;05:35 PM;16.2
Jacarei;3524402;2022-05-07;Sao Paulo;Brasil;-23.32;-45.97;24.5;12.8;17.1;Não;0%;Partly cloudy;06:26 AM;05:34 PM;14.8
Jacarei;3524402;2022-05-08;Sao Paulo;Brasil;-23.32;-45.97;23.1;15.8;18.3;Não;0%;Cloudy;06:27 AM;05:34 PM;13.3
Lorena;3527207;2022-05-04;Sao Paulo;Brasil;-22.73;-45.13;28.5;13.3;18.8;Sim;80%;Patchy rain possible;06:21 AM;05:34 PM;9.7
Lorena;3527207;2022-05-05;Sao Paulo;Brasil;-22.73;-45.13;25.0;8.9;15.8;Não;0%;Sunny;06:22 AM;05:33 PM;6.1
Lorena;3527207;2022-05-06;Sao Paulo;Brasil;-22.73;-45.13;24.6;8.1;15.7;Não;0%;Partly cloudy;06:22 AM;05:33 PM;8.3
Lorena;3527207;2022-05-07;Sao Paulo;Brasil;-22.73;-45.13;25.2;14.1;18.4;Não;0%;Partly cloudy;06:23 AM;05:32 PM;4.3
Lorena;3527207;2022-05-08;Sao Paulo;Brasil;-22.73;-45.13;24.2;14.3;18.4;Sim;85%;Patchy rain possible;06:23 AM;05:31 PM;5.8
Sao Sebastiao;3550704;2022-05-04;Sao Paulo;Brasil;-23.8;-45.42;25.6;19.1;22.2;Sim;89%;Patchy rain possible;06:24 AM;05:33 PM;18.0
Sao Sebastiao;3550704;2022-05-05;Sao Paulo;Brasil;-23.8;-45.42;25.0;17.8;21.2;Sim;82%;Patchy rain possible;06:24 AM;05:33 PM;22.3
Sao Sebastiao;3550704;2022-05-06;Sao Paulo;Brasil;-23.8;-45.42;23.1;19.9;21.1;Sim;84%;Moderate rain;06:24 AM;05:32 PM;15.1
Sao Sebastiao;3550704;2022-05-07;Sao Paulo;Brasil;-23.8;-45.42;23.2;17.7;20.4;Sim;87%;Patchy rain possible;06:25 AM;05:31 PM;9.0
Sao Sebastiao;3550704;2022-05-08;Sao Paulo;Brasil;-23.8;-45.42;23.2;19.8;21.1;Sim;80%;Moderate rain;06:25 AM;05:31 PM;10.8
Igarata;3520202;2022-05-04;Sao Paulo;Brasil;-23.2;-46.12;20.4;13.9;17.1;Sim;88%;Patchy rain possible;06:26 AM;05:37 PM;20.9
Igarata;3520202;2022-05-05;Sao Paulo;Brasil;-23.2;-46.12;22.0;10.4;15.7;Não;0%;Sunny;06:27 AM;05:36 PM;19.1
Igarata;3520202;2022-05-06;Sao Paulo;Brasil;-23.2;-46.12;21.2;13.9;16.4;Sim;88%;Patchy rain possible;06:27 AM;05:36 PM;15.8
Igarata;3520202;2022-05-07;Sao Paulo;Brasil;-23.2;-46.12;23.7;12.7;16.9;Não;0%;Partly cloudy;06:27 AM;05:35 PM;14.0
Igarata;3520202;2022-05-08;Sao Paulo;Brasil;-23.2;-46.12;22.5;15.2;17.3;Não;0%;Cloudy;06:28 AM;05:35 PM;12.2
Tremembe;3554805;2022-05-04;Sao Paulo;Brasil;-22.97;-45.55;25.2;16.1;19.3;Sim;71%;Patchy rain possible;06:23 AM;05:35 PM;11.2
Tremembe;3554805;2022-05-05;Sao Paulo;Brasil;-22.97;-45.55;23.3;10.3;16.3;Não;0%;Sunny;06:23 AM;05:34 PM;9.4
Tremembe;3554805;2022-05-06;Sao Paulo;Brasil;-22.97;-45.55;23.5;12.8;17.2;Não;0%;Partly cloudy;06:24 AM;05:34 PM;11.5
Tremembe;3554805;2022-05-07;Sao Paulo;Brasil;-22.97;-45.55;25.1;12.5;17.3;Não;0%;Cloudy;06:24 AM;05:33 PM;11.2
Tremembe;3554805;2022-05-08;Sao Paulo;Brasil;-22.97;-45.55;24.3;13.7;17.7;Sim;82%;Patchy rain possible;06:25 AM;05:32 PM;9.0
