Cidade;QtdDiasVaiChover;QtdDiasNaoVaiChover;TotalDiasMapeados
Sao Jose Dos Campos;1;4;5
Paraibuna;1;4;5
Sao Luiz Do Paraitinga;4;1;5
Sao Bento Do Sapucai;4;1;5
Aparecida;1;4;5
Santa Branca;1;4;5
Santo Antonio Do Pinhal;4;1;5
Cacapava;2;3;5
Pindamonhangaba;2;3;5
Natividade Da Serra;4;1;5
Sao Jose Do Barreiro;4;1;5
Cachoeira Paulista;3;2;5
Ilhabela;5;0;5
Caraguatatuba;4;1;5
Taubate;2;3;5
Redencao Da Serra;2;3;5
Guaratingueta;1;4;5
Arapei;5;0;5
Campos Do Jordao;4;1;5
Piquete;2;3;5
Ubatuba;4;1;5
Monteiro Lobato;2;3;5
Cunha;4;1;5
Jacarei;1;4;5
Lorena;2;3;5
Sao Sebastiao;5;0;5
Igarata;2;3;5
Tremembe;2;3;5
